statsbomb_name,csv_name
AC Ajaccio,
AC Milan,
AFC Bournemouth,
AS Monaco,
AS Roma,
Almería,Almeria
Athletic Club,
Atlético Madrid,
Bayer Leverkusen,
Birmingham City,
Blackburn Rovers,
Bolton Wanderers,
Borussia Dortmund,
Borussia Mönchengladbach,
CD Numancia de Soria,
Celta Vigo,
Charlton Athletic,
Clermont Foot,
Cádiz,
Córdoba CF,Cordoba
Darmstadt 98,Darmstadt
Deportivo Alavés,
Eintracht Frankfurt,
Espanyol,Espanol
FC Heidenheim,Heidenheim
FC Köln,FC Koln
FSV Mainz 05,
Gazélec Ajaccio,
Gimnàstic Tarragona,
Hamburger SV,
Hannover 96,
Hellas Verona,
Hertha Berlin,
Hércules,Hercules
Inter Milan,
Leeds United,
Leganés,Leganes
Leicester City,
Levante UD,
Manchester City,
Manchester United,
Málaga,
Newcastle United,
Norwich City,
OGC Nice,
Paris Saint-Germain,
RC Deportivo La Coruña,
Racing Santander,
Rayo Vallecano,
Real Betis,
Real Murcia CF,
Real Sociedad,
Real Valladolid,
Real Zaragoza,
Recreativo Huelva,
Saint-Étienne,
Sporting Gijón,
Stade Brestois,
Stade de Reims,
Stoke City,
Swansea City,
Tottenham Hotspur,
VfB Stuttgart,
West Bromwich Albion,
West Ham United,
Wolverhampton Wanderers,
